"game_id","type","date","home_team","home_conference","home_pts","home_sq_pts","away_team","away_conference","away_pts","away_sq_pts","line","projected_home_score","projected_away_score","value","value_side","play","result","value_type","closing_line","closing_line_value"
19570081614391,"spread","2023-08-01","Indiana Fever",NA,72,85.27865207,"Phoenix Mercury",NA,71,79.39766228,-6,80.6,78.6,4,"Phoenix Mercury",1,1,"Dog",-5.5,-0.5
19570081614391,"total","2023-08-01","Indiana Fever",NA,72,85.27865207,"Phoenix Mercury",NA,71,79.39766228,159.5,80.6,78.6,0.3,"Under",0,0,"Under",157.5,NA
19570098512511,"spread","2023-08-01","Los Angeles Sparks",NA,69,84.54927105,"New York Liberty",NA,76,83.16343093,9,81.5,90.6,0.1,"New York Liberty",0,0,"Fav",8.5,NA
19570098512511,"total","2023-08-01","Los Angeles Sparks",NA,69,84.54927105,"New York Liberty",NA,76,83.16343093,166.5,81.5,90.6,5.6,"Over",1,-1.1,"Over",166.5,0
19571047016321,"spread","2023-08-02","Seattle Storm",NA,65,71.80111408,"Dallas Wings",NA,76,88.32621902,6.5,79.6,83.5,2.6,"Seattle Storm",0,0,"Dog",7.5,NA
19571047016321,"total","2023-08-02","Seattle Storm",NA,65,71.80111408,"Dallas Wings",NA,76,88.32621902,166.5,79.6,83.5,3.4,"Under",1,1,"Under",167.5,-1
19572009114391,"spread","2023-08-03","Phoenix Mercury",NA,91,NA,"Atlanta Dream",NA,71,NA,7.5,81.7,82.3,6.9,"Phoenix Mercury",1,1,"Dog",7.5,0
19572009114391,"total","2023-08-03","Phoenix Mercury",NA,91,NA,"Atlanta Dream",NA,71,NA,163.5,81.7,82.3,0.5,"Over",0,0,"Over",163.5,NA
19573034604701,"spread","2023-08-04","Dallas Wings",NA,89,90.37444502,"Chicago Sky",NA,104,82.46978849,-9.5,83.9,74.1,0.3,"Dallas Wings",0,0,"Fav",-10.5,NA
19573034604701,"total","2023-08-04","Dallas Wings",NA,89,90.37444502,"Chicago Sky",NA,104,82.46978849,163.5,83.9,74.1,5.5,"Under",1,-1.1,"Under",164.5,-1
19573043808161,"spread","2023-08-04","Indiana Fever",NA,72,80.87681299,"Connecticut Sun",NA,88,82.20459473,7.5,78,76.8,8.7,"Indiana Fever",1,-1.1,"Dog",7.5,0
